METHOD,LAYER,BIM,CW,DeepFool,PGD
IF_100,classifier.0,0.301,0.283,0.201,0.136
IF_100,classifier.3,0.306,0.199,0.201,0.25
IF_100,features.14,0.401,0.428,0.55,0.417
IF_100,features.28,0.395,0.439,0.325,0.298
LOF_20,classifier.0,0.722,0.784,0.632,0.742
LOF_20,classifier.3,0.61,0.629,0.511,0.554
LOF_20,features.14,0.416,0.399,0.612,0.503
LOF_20,features.28,0.553,0.526,0.524,0.579
MD,classifier.0,0.652,0.681,0.798,0.819
MD,classifier.3,0.68,0.785,0.805,0.733
MD,features.14,0.547,0.526,0.483,0.565
MD,features.28,0.621,0.56,0.712,0.809
OCSVM_rbf_0.05,classifier.0,0.252,0.218,0.164,0.131
OCSVM_rbf_0.05,classifier.3,0.291,0.177,0.169,0.236
OCSVM_rbf_0.05,features.14,0.391,0.388,0.633,0.512
OCSVM_rbf_0.05,features.28,0.463,0.462,0.453,0.491
